Utterance,Label
yes,1
sure,1
sure thanks,1
yes can i borrow,1
i would like to borrow,1
sure can i borrow,1
definitely,1
ya,1
yup,1
okay,1
yes i would like to borrow,1
okay i would like to borrow,1
sure i would like to borrow,1
ya i would like to borrow,1
sure i woud like to borrow the book,1
yeah i will take the book,1
of course i will borrow the book,1
yes this seems like a good book,1
this book might be of use to me,1
i think i will take this,1
alright i'll take this,1
yep this seems like a good option,1
sure i will take the book,1
yeah i think i will take,1
yeah this might be of use to me.,1
yes give me the book,1
give me this book,1
i would like to borrow this,1
i would like to take this,1
yes i would love to borrow,1
certainly,1
that is correct,1
ok,1
certainly i might want to obtain the book,1
indeed,1
of course i will get the book,1
indeed this appears to be a decent book,1
the book may be useful to me,1
i figure i will take this,1
okay i'll take this,1
that's right this appears to be a decent choice,1
no doubt this may be useful to me.,1
truly give me the book,1
give me this book,1
i might want to take this,1
Massively parallel databases and mapreduce systems is enough for now,1
Course in mathematical analysis VOL. 1 is enough for now,1
WDM optical networks is enough for now,1
Parallel computer architecture is enough for now,1
Computer networking is enough for now,1
Nonlinear dynamics and computational physics is enough for now,1
Digital image processing for medical applications is enough for now,1
Introduction to linear programming and game theory is enough for now,1
Implementing 802.11 with microcontrollers is enough for now,1
Fuzzy databases is enough for now,1
Networking wireless sensors is enough for now,1
Introduction to genetic algorithms is enough for now,1
New developments in biostatistics and bioinformatics is enough for now,1
Data structures and algorithms using C# is enough for now,1
Wireless communications and networking is enough for now,1
Cambridge handbook of cognitive science is enough for now,1
Pharmaceutical statistics : is enough for now,1
Software engineering concepts is enough for now,1
Advanced Mathematical Methods for Scientists and Engineers I is enough for now,1
Course in game theory is enough for now,1
Concentration of measure for the analysis of randomized algorithms is enough for now,1
Mathematics of games of srategy is enough for now,1
"Electric systems, dynamics, and stability with artificial intelligence applications is enough for now",1
Error correction coding is enough for now,1
Eloquent javascript is enough for now,1
Advances in computational algorithms and data analysis is enough for now,1
Bioinformatics of genome regulation and structure is enough for now,1
"Concepts, techniques, and models of computer programming is enough for now",1
Boolean functions is enough for now,1
Intelligent data mining is enough for now,1
Introduction to game theory is enough for now,1
Insight into data mining is enough for now,1
Computer security handbook is enough for now,1
Lobachevsky Geometry and Modern Nonlinear Problems is enough for now,1
Data mining and knowledge discovery handbook is enough for now,1
Image processing is enough for now,1
Applications of combinatorial matrix theory to laplacian matrices of graphs is enough for now,1
Computer communications and networking technologies is enough for now,1
Course in mathematical logic for mathematicians is enough for now,1
Nanotechnology applications to telecommunications and networking is enough for now,1
Artificial intelligence handbook is enough for now,1
Handbook of hidden markov models in bioinformatics is enough for now,1
Protein bioinformatics is enough for now,1
Bioinformatics database systems is enough for now,1
Biomedical signal and image processing is enough for now,1
Genomes and databases on the internet is enough for now,1
Software engineering 1 is enough for now,1
Fundamentals of computer architecture is enough for now,1
Ada plus is enough for now,1
Multimedia ontology is enough for now,1
